name,nr_art,rating,price,availability
DW SP-2013 Hi-Hat Rod short,384163,4.9 din 5 stele din 17 evaluări ale clienților,122,în stoc
"Pearl Roadshow 20"" Plus Royal Blue",542896,,4.111,Disponibil in în aproximativ o săptămână
Pearl Midtown Pure White,577434,5.0 din 5 stele din 2 evaluări ale clienților,3.066,în stoc
Pearl Decade Maple Studio BK Burst,381678,5.0 din 5 stele din 4 evaluări ale clienților,7.699,în stoc
"Pearl Roadshow 18"" Plus Jet Black",521874,4.0 din 5 stele din 2 evaluări ale clienților,3.959,în stoc
"Tama Imperialstar 20"" 5pcs -CTW",575872,,4.799,în stoc
"Gibraltar SC-EMBA 16"" Drum Modul B-Stock",554100,,175,în stoc
Gibraltar SC-BAMML Boom Arm Mic  B-Stock,541613,,,în stoc
Thomann Wind Gong 130 B-Stock,627264,,11.690,în stoc
"Thomann Tam Gong 56"" ES B-Stock",602632,,10.222,în stoc
Thomann Wuhan Tam Tam 130 B-Stock,621653,,12.190,în stoc
Asian Sound Tamtam SGL-37 P,237281,4.5 din 5 stele din 2 evaluări ale clienților,739,la cerere
"Thomann Tam Gong 56"" ES",552391,,15.290,în stoc
Asian Sound Tamtam T-30 P,237250,5.0 din 5 stele din 3 evaluări ale clienților,499,în stoc
"Ludwig 14""x5,5"" Universal Black&Gold",582509,5.0 din 5 stele din 3 evaluări ale clienților,2.855,Disponibil în timp scurt (de obicei 2-5 zile)
"Slingerland 14""x5.5"" Radio King Snare WMP",,,,Disponibil in 3-4 Saptamani
"Sonor 14""x06"" ProLite Snare Nussbaum",282334,4.9 din 5 stele din 9 evaluări ale clienților,4.222,la cerere
"DrumCraft Series 6 14""x05"" Snare -SB",523840,4.8 din 5 stele din 4 evaluări ale clienților,789,în stoc
"DW 14""07"" Snare Exotic Edge",282747,5.0 din 5 stele din 1 evaluări ale clienților,11.690,Disponibil în câteva luni
"Slingerland 14""x5.5"" Radio King Snare BDP",,,,Disponibil in 3-4 Saptamani
"DW PDP 14""x08"" Walnut Snare",433752,4.3 din 5 stele din 15 evaluări ale clienților,1.990,în stoc
"Gretsch Drums 14""X6,5"" Renown Maple CB",462506,5.0 din 5 stele din 1 evaluări ale clienților,1.835,în stoc
"Pearl Decade Maple 14""x5,5"" Snare BK",382916,4.8 din 5 stele din 6 evaluări ale clienților,1.299,în stoc
"Mapex Comet Pro Pack 22"" Indigo Blue",594137,,3.444,în stoc
DrumCraft Series 4 2up 2down Set SGF,514067,4.0 din 5 stele din 1 evaluări ale clienților,4.799,în stoc
"Pearl Export 22"" Rock S.White",614498,,5.590,în stoc
DrumCraft Series 4 Standard Set PSB,514053,5.0 din 5 stele din 1 evaluări ale clienților,4.090,în stoc
"Gretsch Drums Renegade 22"" Grey Sparkle",595211,5.0 din 5 stele din 1 evaluări ale clienților,2.499,în stoc
Tama STAR Drum Bubinga Set SAC,569063,,36.190,Disponibil în timp scurt (de obicei 2-5 zile)
DW Finish Ply 22 Creme Oyster,535443,,24.490,în stoc
Tama STAR Drum Maple Set ROLC,604292,5.0 din 5 stele din 1 evaluări ale clienților,36.190,Disponibil în timp scurt (de obicei 2-5 zile)
Gretsch Drums US Custom 1up1down WMP,543910,,23.990,în stoc
Gretsch Drums Broadkaster SB Deep Black,575141,,24.490,în stoc
DW Satin Oil Shell Set Amber,529454,,27.090,în stoc
Zebra Drums Studio London Plane Tree Set,550518,,30.590,în stoc
Yamaha Absolute Hybrid Standard -WLN,332996,,18.555,în stoc
Ludwig Classic Maple 5pcs Silver Silk,606904,,29.090,în stoc
DW Exotic Giant Quilted Sapele,612524,,43.390,în stoc
DW Finish Ply Broken Glass Cherry,318416,,25.490,în stoc
DW Finish Ply Classic Marine,612532,,21.390,în stoc
Gretsch Drums USA Custom 18 WMP,603189,,24.490,în stoc
"Tama 14""x6,5"" Starcl. Walnut/B. SPF",471200,4.0 din 5 stele din 4 evaluări ale clienților,2.190,în stoc
"Tama 14""x6,5"" Woodworks Snare - BOW",483214,4.6 din 5 stele din 7 evaluări ale clienților,685,în stoc
"Yamaha Stage Custom 14""x5,5"" Sn. MSG",568200,5.0 din 5 stele din 1 evaluări ale clienților,873,Disponibil in 6-8 Saptamani
"Ludwig 14""x6,5"" Continental Snare S.",578121,,1.935,în stoc
"Yamaha Stage Custom 14""x5,5"" Snare CR",498928,5.0 din 5 stele din 1 evaluări ale clienților,873,în stoc
"Sonor 14""x6,5"" Vintage Snare Black",512263,,3.555,Disponibil in 6-8 Saptamani
"Tama 14""x6,5"" Starcl. Maple Sn. SLW",533960,5.0 din 5 stele din 3 evaluări ale clienților,2.790,Disponibil in 3-4 Saptamani
"Tama 14""x06"" Starphonic Spruce",606476,,2.890,în stoc
"Tama Imperialstar 22"" 5pcs -BOB",575866,5.0 din 5 stele din 2 evaluări ale clienților,5.333,Disponibil în timp scurt (de obicei 2-5 zile)
"Pearl Roadshow 22"" Bronze Metallic",521822,5.0 din 5 stele din 1 evaluări ale clienților,3.759,în stoc
"Pearl Export 20"" Studio G.Silver",614509,,5.590,în stoc
Yamaha Stage Custom Studio -NW Bundle,332851,,6.499,Disponibil în timp scurt (de obicei 2-5 zile)
Mapex Comet Fusion Indigo Blue #IB,588888,,2.499,în stoc
